Success,Time (us)
Yes,47
Yes,40
Yes,36
Yes,36
Yes,36
Yes,36
Yes,36
Yes,36
Yes,36
Yes,35
Yes,34
Yes,37
Yes,34
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,33
Yes,34
Yes,31
Yes,31
Yes,30
Yes,30
Yes,30
Yes,30
Yes,30
Yes,30
Yes,30
Yes,32
Yes,28
Yes,28
Yes,28
Yes,26
Yes,26
Yes,26
Yes,26
Yes,26
Yes,26
Yes,57
Yes,38
Yes,37
Yes,37
Yes,52
Yes,39
Yes,38
Yes,38
Yes,38
Yes,38
Yes,47
Yes,44
Yes,44
Yes,43
Yes,44
Yes,44
Yes,44
Yes,44
Yes,44
Yes,44
Yes,44
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,40
Yes,40
Yes,42
Yes,39
Yes,39
Yes,39
Yes,39
Yes,39
Yes,39
Yes,38
Yes,38
Yes,38
Yes,41
Yes,37
Yes,37
Yes,37
Yes,37
Yes,37
Yes,37
Yes,37
Yes,37
Yes,37
Yes,43
Yes,38
Yes,39
Yes,37
Yes,37
Yes,38
Yes,38
Yes,39
Yes,38
Yes,37
Yes,45
Yes,41
Yes,38
Yes,37
Yes,37
Yes,37
Yes,37
Yes,38
Yes,36
Yes,36
Yes,46
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
Yes,41
No,91
No,99
No,85
No,77
No,76
No,77
No,78
No,79
No,78
No,78
No,92
No,88
No,88
No,89
No,87
No,87
No,87
No,87
No,87
No,87
No,112
No,107
No,95
No,94
No,95
No,94
No,94
No,94
No,93
No,92
Yes,103
Yes,100
Yes,88
Yes,80
Yes,80
Yes,80
Yes,80
Yes,80
Yes,76
Yes,76
Yes,83
Yes,81
Yes,81
Yes,81
Yes,79
Yes,79
Yes,79
Yes,80
Yes,83
Yes,83
Yes,85
Yes,82
Yes,81
Yes,82
Yes,79
Yes,79
Yes,79
Yes,78
Yes,78
Yes,78
Yes,98
Yes,84
Yes,84
Yes,83
Yes,96
Yes,85
Yes,84
Yes,84
Yes,84
Yes,94
Yes,88
Yes,81
Yes,77
Yes,76
Yes,74
Yes,74
Yes,74
Yes,74
Yes,74
Yes,73
Yes,85
Yes,79
Yes,79
Yes,77
Yes,78
Yes,75
Yes,74
Yes,74
Yes,83
Yes,74
Yes,83
Yes,92
Yes,83
Yes,79
Yes,78
Yes,74
Yes,72
Yes,71
Yes,72
Yes,71
Yes,83
Yes,77
Yes,77
Yes,76
Yes,73
Yes,77
Yes,73
Yes,68
Yes,68
Yes,69
Yes,52
Yes,48
Yes,48
Yes,48
Yes,48
Yes,48
Yes,48
Yes,48
Yes,48
Yes,45
Yes,56
Yes,52
Yes,60
Yes,52
Yes,52
Yes,52
Yes,51
Yes,51
Yes,52
Yes,51
Yes,55
Yes,51
Yes,52
Yes,51
Yes,52
Yes,51
Yes,51
Yes,50
Yes,50
Yes,50
Yes,59
Yes,47
Yes,45
Yes,42
Yes,42
Yes,43
Yes,42
Yes,42
Yes,42
Yes,42
Yes,63
Yes,57
Yes,57
Yes,57
Yes,58
Yes,56
Yes,55
Yes,54
Yes,54
Yes,51
Yes,73
Yes,58
Yes,54
Yes,54
Yes,55
Yes,55
Yes,54
Yes,54
Yes,54
Yes,54
Yes,61
Yes,56
Yes,59
Yes,335
Yes,58
Yes,58
Yes,58
Yes,57
Yes,57
Yes,57
No,95
No,83
No,81
No,81
No,76
No,75
No,75
No,80
No,76
No,74
No,87
No,80
No,80
No,76
No,76
No,76
No,76
No,75
No,75
No,79
No,89
No,83
No,82
No,82
No,82
No,80
No,80
No,80
No,80
No,80
No,85
No,82
No,81
No,81
No,85
No,77
No,82
No,76
No,76
No,76
No,90
No,79
No,79
No,79
No,78
No,78
No,76
No,77
No,78
No,79
No,92
No,89
No,88
No,82
No,88
No,84
No,88
No,88
No,88
No,82
No,89
No,86
No,83
No,87
No,82
No,81
No,79
No,82
No,76
No,76
No,88
No,102
No,90
No,82
No,80
No,84
No,86
No,85
No,82
No,79
No,96
No,89
No,86
No,83
No,75
No,75
No,81
No,81
No,77
No,75
No,86
No,91
No,80
No,77
No,77
No,76
No,77
No,76
No,87
No,84
No,95
No,88
No,89
No,87
No,80
No,81
No,84
No,87
No,82
No,78
No,91
No,77
No,75
No,75
No,75
No,83
No,77
No,77
No,79
No,82
No,87
No,82
No,82
No,82
No,82
No,82
No,80
No,80
No,80
No,80
No,92
No,89
No,89
No,89
No,90
No,96
No,86
No,84
No,83
No,83
No,107
No,84
No,81
No,81
No,78
No,77
No,77
No,79
No,80
No,80
No,171
No,85
No,79
No,79
No,78
No,81
No,79
No,81
No,79
No,97
No,103
No,87
No,83
No,82
No,82
No,78
No,78
No,78
No,80
No,82
No,88
No,80
No,153
No,83
No,83
No,78
No,77
No,77
No,92
No,78
No,92
No,89
No,88
No,85
No,81
No,81
No,81
No,84
No,86
No,82
No,95
No,83
No,81
No,80
No,80
No,80
No,79
No,79
No,79
No,76
No,96
No,92
No,92
No,111
No,97
No,91
No,88
No,87
No,86
No,86
No,89
No,81
No,79
No,79
No,79
No,79
No,79
No,79
No,83
No,80
No,88
No,81
No,80
No,80
No,80
No,80
No,80
No,80
No,79
No,80
No,93
No,86
No,85
No,86
No,81
No,81
No,81
No,79
No,83
No,83
No,105
No,97
No,81
No,80
No,80
No,78
No,76
No,75
No,78
No,80
No,95
No,96
No,81
No,81
No,82
No,80
No,80
No,78
No,78
No,78
Yes,29
Yes,25
Yes,24
Yes,24
Yes,25
Yes,23
Yes,23
Yes,23
Yes,23
Yes,23
Yes,26
Yes,22
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,25
Yes,22
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,21
Yes,62
Yes,57
Yes,58
Yes,60
Yes,58
Yes,55
Yes,55
Yes,55
Yes,55
Yes,55
